City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mount Gambier,AU,70.68,Clouds,-37.8333,140.7667,The Old Mount Gambier Gaol
3,Imbituba,BR,72.55,Rain,-28.24,-48.6703,Silvestre Praia Hotel
9,Rikitea,PF,78.75,Rain,-23.1203,-134.9692,Chez Bianca & Benoit
10,Sao Jose Da Coroa Grande,BR,77.83,Clear,-8.8978,-35.1478,Hotel do Sol
16,Mineiros,BR,68.74,Clouds,-17.5694,-52.5511,Hotel Dallas
17,Cape Town,ZA,68.38,Clear,-33.9258,18.4232,Townhouse Hotel
19,Chilca,PE,71.46,Clouds,-12.5211,-76.7372,Hotel Benvenuto
22,Arrecife,ES,57.18,Clear,28.963,-13.5477,Hostal San Gines
24,Nabire,ID,77.95,Clouds,-3.3667,135.4833,Hotel Anggrek
39,Sao Felix Do Xingu,BR,71.28,Clouds,-6.6447,-51.995,Hotel Terraço
42,Mount Pleasant,US,61.09,Mist,32.7941,-79.8626,Old Village Post House
46,Mahebourg,MU,77.25,Clouds,-20.4081,57.7,Grand Bel Air
48,Bodden Town,KY,78.93,Clouds,19.2833,-81.25,Turtle Nest Inn
52,Catalina,US,60.84,Clear,32.5056,-110.9211,Catalina Inn
58,San Juan,AR,77.38,Clouds,-31.5375,-68.5364,Hotel San Francisco
61,Touros,BR,79.63,Clouds,-5.1989,-35.4608,Pousada Atlântico
62,Hilo,US,72.28,Rain,19.7297,-155.09,Dolphin Bay Hotel
63,Coquimbo,CL,62.33,Clear,-29.9533,-71.3436,Hotel Iberia
64,Puerto Ayora,EC,77.56,Clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
70,Makakilo City,US,71.92,Rain,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
73,Dunedin,NZ,68.2,Clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
77,Esperance,AU,76.69,Clear,-33.8667,121.9,Hospitality
78,Port Lincoln,AU,66.94,Clouds,-34.7333,135.8667,Boston Hotel
84,Atuona,PF,79.11,Rain,-9.8,-139.0333,Pearl Resort
85,Kahului,US,74.84,Rain,20.8947,-156.47,Maui Seaside Hotel
87,Hobart,AU,77.05,Clouds,-42.8794,147.3294,Vibe Hotel Hobart
92,Sechura,PE,74.59,Clear,-5.5569,-80.8222,Hospedaje Claritza
93,Ambilobe,MG,74.14,Clouds,-13.2,49.05,Hôtel National
95,Coxim,BR,75.25,Clouds,-18.5067,-54.76,Avendita
101,Kapaa,US,74.48,Clouds,22.0752,-159.319,Pono Kai Resort
108,Victoria,HK,61.95,Clear,22.2855,114.1577,四季酒店 Four Seasons Hotel
110,Isiro,CD,62.91,Clear,2.7739,27.616,Hôtel Magbetu
116,Hermanus,ZA,64.8,Clouds,-34.4187,19.2345,Aloe guest house
123,Hualmay,PE,71.96,Clouds,-11.0964,-77.6139,Hotel Mi Choacan
125,New Norfolk,AU,76.71,Clear,-42.7826,147.0587,Woodbridge on the Derwent
130,Manakara,MG,75.97,Clouds,-22.1333,48.0167,Hotel H1
138,Dong Hoi,VN,62.69,Clouds,17.4833,106.6,Nhà hàng Amor Palace
140,Tabuk,PH,67.84,Clouds,17.4189,121.4443,Davidson Hotel
148,Sao Joao Da Barra,BR,77.34,Clouds,-21.6403,-41.0511,Pousada Mediterrâneo
151,Castro,BR,61.68,Clouds,-24.7911,-50.0119,Hotel Central Palace
154,Alice Springs,AU,76.55,Clouds,-23.7,133.8833,Aurora Alice Springs
157,Mar Del Plata,AR,70.88,Clear,-38.0023,-57.5575,Nuevo Ostende
158,Moerai,PF,79.48,Clouds,-22.4333,-151.3333,Manotel Rurutu
160,Bintulu,MY,77.41,Clouds,3.1667,113.0333,Bakun Inn
161,Gopalganj,IN,58.78,Clouds,26.4667,84.4333,KAILASH
163,Meulaboh,ID,79.5,Clouds,4.1363,96.1285,Hotel Meuligou
164,Port Elizabeth,ZA,63.32,Clouds,-33.918,25.5701,Waterford Hotel
167,Bredasdorp,ZA,64.44,Clouds,-34.5322,20.0403,Victoria Hotel
170,Simao,CN,56.08,Clear,22.7886,100.9748,Marvelous Land Hotel
173,Sao Filipe,CV,70.41,Clouds,14.8961,-24.4956,Bela Vista
178,Lucea,JM,78.66,Clear,18.451,-78.1736,Blue Paloma Bed And Breakfast
183,San Cristobal,VE,68.18,Clouds,7.7669,-72.225,Terra Sur
186,Avarua,CK,73.45,Rain,-21.2078,-159.775,Paradise Inn
187,Mecca,SA,72.57,Clear,21.4267,39.8261,Rehab Al Marwa Hotel 1
190,Chuy,UY,70.59,Clouds,-33.6971,-53.4616,Alerces
192,Cidreira,BR,72.48,Clear,-30.1811,-50.2056,Hotel Castelo
197,Oriental,MX,56.21,Clear,19.3667,-97.6167,Hotel Oriental
198,Nzerekore,GN,70.21,Clouds,7.7562,-8.8179,Mission Catolique
200,Kindia,GN,67.91,Clouds,10.0569,-12.8658,Hôtel buffet de la gare de Kindia
202,Mkushi,ZM,61.27,Clouds,-13.6202,29.3939,Shalom Lodge
203,Hurghada,EG,68.04,Clear,27.2574,33.8129,Sea Horse Hotel
206,Souillac,MU,73.78,Clouds,-20.5167,57.5167,Hotel SkylineInn
210,Sijunjung,ID,77.25,Clouds,-0.6876,100.9537,Hotel Bukik Gadang
213,Luderitz,,57.92,Clear,-26.6481,15.1594,Seaview Hotel Zum Sperrgebiet
216,Ponta Do Sol,PT,57.7,Clouds,32.6667,-17.1,Estalagem Ponta do Sol
217,Atar,MR,58.57,Clouds,20.5169,-13.0499,فندق سكليل
221,Dwarka,IN,65.32,Clear,22.2394,68.9678,The Dwarika Hotel
222,Mbandaka,CD,70.95,Clouds,0.0487,18.2603,Hôtel Epervier
227,Catamarca,AR,76.59,Clouds,-28.4696,-65.7852,Hotel de Turismo
230,Kollam,IN,73.47,Clouds,8.8833,76.6,Sea Palace
234,Richards Bay,ZA,67.44,Clouds,-28.783,32.0377,Protea Hotel
236,Nishihara,JP,60.08,Clouds,26.1842,127.7558,ユインチホテル南城
237,Rocha,UY,69.69,Clouds,-34.4833,-54.3333,Hotel Municipal
238,Rio Claro,BR,68.97,Clouds,-22.4114,-47.5614,Hotel Premier
245,Khanu Woralaksaburi,TH,69.12,Clouds,16.0617,99.8606,Guesthouse
247,Bugiri,UG,69.01,Clouds,0.5714,33.7417,Executive Hotel
261,Dunkwa,GH,74.89,Clouds,5.9656,-1.78,King Lord Hotel
264,Lagoa,PT,57.94,Clouds,39.05,-27.9833,Casa da Madrinha
271,Alta Floresta,BR,69.71,Rain,-9.8756,-56.0861,Villas Hotel
275,Bathurst,AU,76.12,Rain,-33.4166,149.5806,King's Hotel
276,San Miguel,SV,78.93,Clouds,13.4833,-88.1833,Continental Plaza Hotel
277,Vao,NC,77.09,Clouds,-22.6667,167.4833,Nataiwatch
280,Marigot,MF,76.78,Clouds,18.0667,-63.0833,Centr' Hotel
281,Itarema,BR,76.91,Clear,-2.9248,-39.9167,Pousada Oásis
283,Los Llanos De Aridane,ES,55.15,Clouds,28.6585,-17.9182,Valle Aridane
301,Champerico,GT,78.94,Clear,14.3,-91.9167,Hotel y Restaurante El Submarino
305,Rio Gallegos,AR,60.85,Clouds,-51.6226,-69.2181,Amérian Río Gallegos Apart & Suites
307,San Rafael,AR,76.12,Clear,-34.6177,-68.3301,Hotel Regional
309,Gisborne,NZ,73.6,Clouds,-38.6533,178.0042,Portside Hotel
310,Porto Franco,BR,73.15,Clouds,-6.3383,-47.3992,Hotel Belém-Brasilia
312,Marawi,PH,76.95,Rain,7.9986,124.2928,Marawi Resort Hotel
317,Grand Gaube,MU,77.38,Clouds,-20.0064,57.6608,Coco Villa
322,Santarem,BR,75.97,Clouds,-2.4431,-54.7083,Prático Hotel
324,Ambulu,ID,78.89,Clouds,-8.345,113.6058,Hotel Ambulu
326,Grand Baie,MU,77.45,Clouds,-20.0182,57.5802,Safari
329,Saint-Philippe,RE,78.39,Clouds,-21.3585,55.7679,Le Baril
331,Yei,SS,71.58,Clear,4.095,30.6779,New Tokyo
335,Puerto Narino,CO,72.03,Rain,-3.7703,-70.3831,Eco Hotel Euare
336,Sinnamary,GF,76.15,Clouds,5.3833,-52.95,Hôtel du fleuve
343,Olinda,BR,79.34,Clouds,-8.0089,-34.8553,Fidji Motel
347,Nouadhibou,MR,61.56,Clouds,20.931,-17.0347,Hotel valencia
348,Ancud,CL,60.94,Clouds,-41.8697,-73.8203,Cabañas
350,Basco,PH,68.72,Clouds,20.4487,121.9702,Tawsen Hotel
354,Kaoma,ZM,62.67,Clouds,-14.7833,24.8,Pumulo Pardway Lodge
355,Namibe,AO,74.71,Clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
361,Vila Velha,BR,75.72,Clouds,-20.3297,-40.2925,Hotel Prainha
364,Sharjah,AE,64.72,Clear,25.3573,55.4033,shakeel bhai room
366,Ciudad Bolivar,VE,76.66,Clear,8.1222,-63.5497,Paoca
368,Opuwo,,68.92,Clouds,-18.0607,13.84,Ohakane Lodge
370,Mount Dora,US,71.64,Clear,28.8025,-81.6445,Maison en Ville
374,Necochea,AR,65.62,Clear,-38.5473,-58.7368,Cabañas Río Quequén
375,Moa,CU,74.55,Clouds,20.6569,-74.9403,Hotel Miraflores
385,Meiktila,MM,74.07,Clear,20.8667,95.8667,Honey Hotel
388,Te Anau,NZ,74.34,Clouds,-45.4167,167.7167,Lakeside Motels & Apartments
390,Marsh Harbour,BS,74.77,Clear,26.5412,-77.0636,Lofty Fig Villas
399,Port Augusta,AU,72.75,Clouds,-32.5,137.7667,Hotel Commonwealth
401,San Quintin,MX,56.41,Clouds,30.4833,-115.95,Jardines Hotel
402,Bom Jesus Do Itabapoana,BR,74.21,Clouds,-21.1339,-41.6797,Big Hotel
403,Qiongshan,CN,62.98,Clouds,20.0058,110.3542,全季酒店
406,Cayenne,GF,77.04,Clouds,4.9333,-52.3333,Central Hôtel
426,Ahipara,NZ,66.07,Rain,-35.1667,173.1667,YHA Ahipara
430,Phalaborwa,ZA,69.03,Clouds,-23.943,31.1411,Hans Merensky Hotel & Estate
432,Ambanja,MG,73.98,Clouds,-13.6833,48.45,Hôtel Salama Rose
436,Maceio,BR,76.44,Clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
437,Lynn Haven,US,69.01,Mist,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
438,Santa Cruz,BO,72.86,Rain,-17.8,-63.1667,Aviador Hotel Boutique
440,Ulladulla,AU,70.93,Rain,-35.35,150.4667,Hotel Marlin
456,Paso De Los Toros,UY,74.59,Clear,-32.8167,-56.5167,Hotel Italiana
458,Caravelas,BR,75.18,Clear,-17.7125,-39.2481,Pousada dos Navegantes
459,Nizwa,OM,58.89,Clear,22.9333,57.5333,Nizwa Heritage Inn
461,Cockburn Town,TC,77.0,Clear,21.4612,-71.1419,The Salt Raker Inn
475,Eyl,SO,73.47,Clouds,7.9803,49.8164,فندق ايل دابي
479,Floresta,BR,77.05,Clear,-8.6011,-38.5686,Floresta Hotel
482,Walvis Bay,,63.09,Clear,-22.9575,14.5053,Atlantic
486,Jijiga,ET,60.15,Clouds,9.35,42.8,Africa Hotel
493,Guerrero Negro,MX,57.74,Clear,27.9769,-114.0611,Plaza sal paraiso
497,Pemangkat,ID,77.02,Rain,1.1667,108.9667,Hotel Kelapa Gading
501,San Carlos De Bariloche,AR,63.28,Clear,-41.1456,-71.3082,Kronos
506,South Venice,US,71.98,Clear,27.0531,-82.4243,Kon-Tiki Motel
508,Gedo,ET,56.62,Clouds,9.0167,37.45,ጨሊያ ሆቴል
511,Cabo San Lucas,MX,68.5,Clouds,22.8909,-109.9124,Comfort Rooms
515,Mogadishu,SO,76.08,Clouds,2.0371,45.3438,SYL Hotel
517,Metro,ID,77.79,Rain,-5.1131,105.3067,Hotel Nuban
519,Saint-Georges,GD,74.48,Clear,12.0564,-61.7485,Deyna's City Inn
532,Chokwe,MZ,74.21,Rain,-24.5333,32.9833,Limpopo Hotel
541,Taunggyi,MM,62.64,Clear,20.7833,97.0333,Golden Island Cottages
544,Puerto Penasco,MX,58.91,Clear,31.3167,-113.5333,Hotel Paraíso Del Desierto
549,Bella Union,UY,79.38,Clouds,-30.2752,-57.6007,Hotel Oriente
552,Kuala Terengganu,MY,79.99,Clouds,5.3302,103.1408,Uncle Homestay
559,San Vicente,AR,65.7,Clouds,-26.6167,-54.1333,Los Lapachos
560,Banda Aceh,ID,79.54,Clouds,5.5577,95.3222,Hotel 61
561,Brownsville,US,74.08,Clouds,25.9018,-97.4975,Cameron Hotel
562,Jacareacanga,BR,72.03,Rain,-6.2222,-57.7528,Hotel São Cristovão
566,Salinopolis,BR,77.23,Clouds,-0.6136,-47.3561,Hotel Salinópolis
572,Houma,US,72.0,Clouds,29.5958,-90.7195,Courtyard by Marriott Houma
573,Talara,PE,73.35,Clear,-4.5772,-81.2719,Hospedaje El Aypate
577,Taltal,CL,66.69,Clouds,-25.4,-70.4833,Hostería Taltal
580,Riohacha,CO,76.62,Clouds,11.5444,-72.9072,IMPERIAL
582,Inhambane,MZ,77.23,Rain,-23.865,35.3833,Hotel de Inhambane
587,Pisco,PE,73.45,Clear,-13.7,-76.2167,La Portada
590,Durban,ZA,66.76,Clouds,-29.8579,31.0292,Tudor
591,Constitucion,CL,58.51,Clouds,-35.3333,-72.4167,Hostal Alameda
595,La Asuncion,VE,73.49,Clear,11.0333,-63.8628,Hotel La Ciudad
598,Victor Harbor,AU,75.69,Clouds,-35.5667,138.6167,Hotel Victor
603,Saldanha,ZA,62.38,Clear,-33.0117,17.9442,Hoedjesbaai
606,Kimberley,ZA,68.77,Clear,-28.7323,24.7623,Royal Paume Hotel
607,Huarmey,PE,71.85,Clouds,-10.0681,-78.1522,Hostal Santa Rosa
609,Isla Mujeres,MX,78.85,Clear,21.2311,-86.731,Villa La Bella
611,Suarez,CO,67.62,Clouds,2.954,-76.6964,El sol
613,Dillon,US,56.25,Clouds,34.4166,-79.3712,Quality Inn
616,Sokolo,ML,63.09,Clouds,14.7328,-6.1219,Mairie de la Commune de Sokolo
617,Sandakan,MY,77.22,Clouds,5.8402,118.1179,Hotel City Star
618,Ibra,OM,58.12,Clear,22.6906,58.5334,الدكيك
621,Luba,GQ,79.93,Clouds,3.4568,8.5547,Hotel Jones
622,Porto Santo,PT,55.78,Rain,33.072,-16.3415,Praia Dourada
625,Hirara,JP,59.85,Clear,24.8,125.2833,古謝そば屋
631,Santa Maria,BR,74.89,Clouds,-29.6842,-53.8069,Hotel Morotin
634,Mazamari,PE,70.23,Clouds,-11.3258,-74.5308,Hospedaje El Conquistador
636,Dongzhen,CN,58.6,Clear,22.3797,110.9389,新城国际大酒店(信宜店)
637,Nha Trang,VN,73.4,Clouds,12.25,109.1833,Den Long Đỗ
644,Port Macquarie,AU,76.89,Rain,-31.4333,152.9167,The Observatory
645,Dakar,SN,63.48,Clouds,14.6937,-17.4441,翁记小吃
647,Tabou,CI,76.51,Rain,4.423,-7.3528,hôtel le rochet
662,Ampanihy,MG,69.89,Clouds,-24.7,44.75,Hotel restaurant Angora
664,Omboue,GA,77.81,Clouds,-1.5746,9.2618,Georges Faustin Aurat
675,Ilhabela,BR,76.17,Clouds,-23.7781,-45.3581,Vila Kebaya
676,Ikot Ekpene,NG,76.62,Rain,5.1794,7.7108,"Four Points by Sheraton, Ikot Ekpene"
678,Paita,PE,72.23,Clear,-5.0892,-81.1144,Victor's
684,Wilmington,US,58.91,Clouds,34.2257,-77.9447,Hell's Kitchen
686,Kampot,KH,75.25,Clouds,10.6167,104.1833,Sambor Sambat Guesthouse
691,Pangkalanbuun,ID,76.42,Clouds,-2.6833,111.6167,Hotel Tiara
698,Quelimane,MZ,76.06,Clouds,-17.8786,36.8883,Mabassa
699,Salalah,OM,63.0,Clouds,17.0151,54.0924,Muscat International Hotel
701,Quatre Cocos,MU,77.09,Clouds,-20.2078,57.7625,Horisun
703,Bathsheba,BB,75.81,Clouds,13.2167,-59.5167,Atlantis Hotel
